"articlenumber_value","price","special_price","releasedate"
"078260","429000",,"2009-01-02 00:00:00"
"A45978","999000",,"2016-01-02 00:00:00"
"AA0594","699000",,"2015-01-06 00:00:00"
"AA0647","249000",,"2015-01-07 00:00:00"
"AA2140","249000",,"2015-01-07 00:00:00"
"AA2219","849000",,"2015-15-06 00:00:00"
"AA2728","249000",,"2015-01-07 00:00:00"
"AA5541","449000",,"2016-01-02 00:00:00"
"AA5567","429000",,"2016-01-02 00:00:00"
"AA5619","279000",,"2015-01-11 00:00:00"
"AA5670","1099000",,"2015-01-08 00:00:00"
"AA6437","549000",,"2016-01-02 00:00:00"
"AA6905","249000",,"2015-01-07 00:00:00"
"AA6910","279000",,"2016-01-02 00:00:00"
"AB6421","399000",,"2015-01-10 00:00:00"
"AC1597","299000",,"2016-01-01 00:00:00"
"AC2099","469000",,"2016-01-02 00:00:00"
"AC2395","279000",,"2015-28-08 00:00:00"
"AC5421","299000",,"2016-01-01 00:00:00"
"AC5488","299000",,"2016-01-02 00:00:00"
"AC5489","299000",,"2016-01-02 00:00:00"
"AF4068","749000",,"2016-01-01 00:00:00"
"AF4069","749000",,"2016-01-01 00:00:00"
"AF4110","949000",,"2016-01-02 00:00:00"
"AF4111","949000",,"2016-01-02 00:00:00"
"AF4112","949000",,"2016-01-02 00:00:00"
"AF4114","949000",,"2016-01-02 00:00:00"
"AF4118","949000",,"2016-01-02 00:00:00"
"AF4358","449000",,"2016-01-02 00:00:00"
"AF4359","449000",,"2016-01-02 00:00:00"
"AF4370","399000",,"2016-01-08 00:00:00"
"AF4420","699000",,"2016-01-02 00:00:00"
"AF4612","229000",,"2016-15-03 00:00:00"
"AF4630","799000",,"2016-01-02 00:00:00"
"AF4638","599000",,"2016-01-01 00:00:00"
"AF4917","2299000",,"2016-01-01 00:00:00"
"AF5034","549000",,"2016-29-01 00:00:00"
"AF5040","649000",,"2016-29-01 00:00:00"
"AF5083","2799000",,"2016-29-01 00:00:00"
"AF5090","1599000",,"2016-29-01 00:00:00"
"AF5099","2799000",,"2016-29-01 00:00:00"
"AF5145","999000",,"2016-29-01 00:00:00"
"AF5179","999000",,"2016-29-01 00:00:00"
"AF5266","1599000",,"2016-29-01 00:00:00"
"AF5297","899000",,"2016-26-02 00:00:00"
"AF5305","699000",,"2016-01-02 00:00:00"
"AF5444","1399000",,"2016-15-01 00:00:00"
"AF5573","649000",,"2016-15-01 00:00:00"
"AF5797","699000",,"2016-01-02 00:00:00"
"AF5872","699000",,"2016-01-01 00:00:00"
"AF5916","1299000",,"2016-21-01 00:00:00"
"AF5926","1899000",,"2016-01-02 00:00:00"
"AF5999","1099000",,"2016-01-02 00:00:00"
"AF6028","749000",,"2016-01-01 00:00:00"
"AF6148","1099000",,"2016-01-02 00:00:00"
"AF6155","1099000",,"2016-01-02 00:00:00"
"AF6431","2299000",,"2016-15-02 00:00:00"
"AF6432","2299000",,"2016-15-02 00:00:00"
"AF6466","1799000",,"2016-01-01 00:00:00"
"AF6598","699000",,"2016-01-02 00:00:00"
"AF6601","699000",,"2016-01-02 00:00:00"
"AF6602","699000",,"2016-01-02 00:00:00"
"AF6644","799000",,"2016-01-01 00:00:00"
"AF6647","799000",,"2016-01-01 00:00:00"
"AF6648","799000",,"2016-01-01 00:00:00"
"AF6650","799000",,"2016-01-01 00:00:00"
"AF6665","749000",,"2016-01-01 00:00:00"
"AF6676","749000",,"2016-01-01 00:00:00"
"AF6783","799000",,"2016-01-01 00:00:00"
"AF6784","799000",,"2016-01-02 00:00:00"
"AF6796","2199000",,"2016-01-01 00:00:00"
"AH5108","849000",,"2015-22-07 00:00:00"
"AH5745","749000",,"2016-01-01 00:00:00"
"AH5747","149000",,"2016-01-01 00:00:00"
"AH6762","199000",,"2015-01-06 00:00:00"
"AH7803","1399000",,"2016-01-02 00:00:00"
"AH8892","1349000",,"2016-21-01 00:00:00"
"AH9165","279000",,"2016-01-02 00:00:00"
"AH9964","549000",,"2016-01-02 00:00:00"
"AI0322","399000",,"2016-01-02 00:00:00"
"AI0729","399000",,"2016-01-02 00:00:00"
"AI0746","329000",,"2016-01-01 00:00:00"
"AI0874","499000",,"2016-15-01 00:00:00"
"AI1130","349000",,"2016-01-02 00:00:00"
"AI2953","599000",,"2016-01-02 00:00:00"
"AI3178","699000",,"2016-01-02 00:00:00"
"AI3180","699000",,"2016-01-02 00:00:00"
"AI3183","599000",,"2016-01-02 00:00:00"
"AI3206","399000",,"2016-01-02 00:00:00"
"AI3210","399000",,"2016-01-01 00:00:00"
"AI3224","799000",,"2016-01-02 00:00:00"
"AI3687","479000",,"2016-01-02 00:00:00"
"AI3701","599000",,"2016-01-02 00:00:00"
"AI3704","599000",,"2016-01-02 00:00:00"
"AI3708","999000",,"2016-01-02 00:00:00"
"AI3709","999000",,"2016-01-02 00:00:00"
"AI3741","549000",,"2016-15-01 00:00:00"
"AI3742","499000",,"2016-01-01 00:00:00"
"AI3747","849000",,"2016-01-01 00:00:00"
"AI3985","549000",,"2016-15-01 00:00:00"
"AI4460","499000",,"2016-01-01 00:00:00"
"AI4463","499000",,"2016-01-01 00:00:00"
"AI4855","749000",,"2016-01-01 00:00:00"
"AI4862","159000",,"2016-01-01 00:00:00"
"AI7286","799000",,"2016-01-02 00:00:00"
"AI7476","399000",,"2016-01-08 00:00:00"
"AI7478","799000",,"2016-01-02 00:00:00"
"AI7480","499000",,"2016-01-01 00:00:00"
"AI7993","449000",,"2016-01-02 00:00:00"
