"articlenumber_value","price","special_price","releasedate"
"078260","130",,"2010-01-09 00:00:00"
"A45978","270",,"2016-01-02 00:00:00"
"AA0594","220",,"2015-01-06 00:00:00"
"AA0647","80",,"2015-01-07 00:00:00"
"AA2140","70",,"2015-01-07 00:00:00"
"AA2219","270",,"2015-15-06 00:00:00"
"AA2728","55",,"2015-01-07 00:00:00"
"AA5541","150",,"2016-01-02 00:00:00"
"AA5551","180",,"2015-01-07 00:00:00"
"AA5567","130",,"2015-01-11 00:00:00"
"AA5619","90",,"2015-01-11 00:00:00"
"AA5670","320",,"2015-01-08 00:00:00"
"AA6437","150",,"2016-01-02 00:00:00"
"AA6905","80",,"2015-01-07 00:00:00"
"AA6910","90",,"2015-01-11 00:00:00"
"AB6421","102",,"2015-01-10 00:00:00"
"AC1597","55",,"2016-01-01 00:00:00"
"AC2099","160",,"2016-01-02 00:00:00"
"AC2395","70",,"2015-28-08 00:00:00"
"AC2555","150",,"2016-01-02 00:00:00"
"AC2560","270",,"2016-01-02 00:00:00"
"AC2635","270",,"2016-01-02 00:00:00"
"AC2636","270",,"2016-01-02 00:00:00"
"AC2638","270",,"2016-01-02 00:00:00"
"AC2645","170",,"2016-01-02 00:00:00"
"AC2650","130",,"2016-01-02 00:00:00"
"AC2651","130",,"2016-01-02 00:00:00"
"AC2653","170",,"2016-01-02 00:00:00"
"AC5421","70",,"2016-01-01 00:00:00"
"AC5487","440",,"2016-01-02 00:00:00"
"AC5488","80",,"2016-01-02 00:00:00"
"AC5489","80",,"2016-01-02 00:00:00"
"AC5495","50",,"2016-01-02 00:00:00"
"AF4068","230",,"2016-01-01 00:00:00"
"AF4069","230",,"2016-01-01 00:00:00"
"AF4110","299",,"2016-01-02 00:00:00"
"AF4111","299",,"2016-01-02 00:00:00"
"AF4112","299",,"2016-01-02 00:00:00"
"AF4114","299",,"2016-01-02 00:00:00"
"AF4118","299",,"2016-01-02 00:00:00"
"AF4358","120",,"2016-01-02 00:00:00"
"AF4359","120",,"2016-01-02 00:00:00"
"AF4370","110",,"2016-01-02 00:00:00"
"AF4371","160",,"2016-01-02 00:00:00"
"AF4373","199",,"2016-01-02 00:00:00"
"AF4420","230",,"2016-01-02 00:00:00"
"AF4501","160",,"2016-01-02 00:00:00"
"AF4502","160",,"2016-01-02 00:00:00"
"AF4524","120",,"2016-01-01 00:00:00"
"AF4612","60",,"2016-15-03 00:00:00"
"AF4624","220",,"2016-01-01 00:00:00"
"AF4630","210",,"2016-01-02 00:00:00"
"AF4638","140",,"2016-01-01 00:00:00"
"AF4917","580",,"2016-01-01 00:00:00"
"AF5034","160",,"2016-29-01 00:00:00"
"AF5040","199",,"2016-29-01 00:00:00"
"AF5082","790",,"2016-29-01 00:00:00"
"AF5083","790",,"2016-29-01 00:00:00"
"AF5145","280",,"2016-29-01 00:00:00"
"AF5154","210",,"2016-29-01 00:00:00"
"AF5179","280",,"2016-29-01 00:00:00"
"AF5186","210",,"2016-29-01 00:00:00"
"AF5266","410",,"2016-29-01 00:00:00"
"AF5268","410",,"2016-29-01 00:00:00"
"AF5297","230",,"2016-26-02 00:00:00"
"AF5305","199",,"2016-01-02 00:00:00"
"AF5444","399",,"2016-15-01 00:00:00"
"AF5573","180",,"2016-15-01 00:00:00"
"AF5797","190",,"2016-01-02 00:00:00"
"AF5855","370",,"2016-01-01 00:00:00"
"AF5872","199",,"2016-01-01 00:00:00"
"AF5916","340",,"2016-21-01 00:00:00"
"AF5926","419",,"2016-01-02 00:00:00"
"AF5999","270",,"2016-01-02 00:00:00"
"AF6028","230",,"2016-01-01 00:00:00"
"AF6133","150",,"2016-01-01 00:00:00"
"AF6148","274",,"2016-01-02 00:00:00"
"AF6155","274",,"2016-01-02 00:00:00"
"AF6218","330",,"2016-01-01 00:00:00"
"AF6431","599",,"2016-15-02 00:00:00"
"AF6432","599",,"2016-15-02 00:00:00"
"AF6466","450",,"2016-01-01 00:00:00"
"AF6471","450",,"2016-01-02 00:00:00"
"AF6488","450",,"2016-01-02 00:00:00"
"AF6554","550",,"2016-01-02 00:00:00"
"AF6567","550",,"2016-01-02 00:00:00"
"AF6598","199",,"2016-01-02 00:00:00"
"AF6601","199",,"2016-01-02 00:00:00"
"AF6602","199",,"2016-01-02 00:00:00"
"AF6644","240",,"2016-01-01 00:00:00"
"AF6647","240",,"2016-01-01 00:00:00"
"AF6648","240",,"2016-01-01 00:00:00"
"AF6650","240",,"2016-01-01 00:00:00"
"AF6665","230",,"2016-01-01 00:00:00"
"AF6676","230",,"2016-01-01 00:00:00"
"AF6783","230",,"2016-01-01 00:00:00"
"AF6784","250",,"2016-01-02 00:00:00"
"AF6796","520",,"2016-01-01 00:00:00"
"AH4136","110",,"2016-01-02 00:00:00"
"AH4137","110",,"2016-01-02 00:00:00"
"AH5049","99",,"2016-01-01 00:00:00"
"AH5108","270",,"2015-22-07 00:00:00"
"AH5745","250",,"2016-01-01 00:00:00"
"AH5747","25",,"2016-01-01 00:00:00"
"AH6762","50",,"2015-01-06 00:00:00"
"AH7803","350",,"2016-01-02 00:00:00"
"AH7813","65",,"2016-01-02 00:00:00"
"AH7815","199",,"2016-01-02 00:00:00"
"AH8855","170",,"2016-21-01 00:00:00"
"AH8892","330",,"2016-21-01 00:00:00"
"AH8895","150",,"2016-21-01 00:00:00"
"AH9165","85",,"2016-01-02 00:00:00"
"AH9675","210",,"2016-15-01 00:00:00"
"AH9964","140",,"2016-01-02 00:00:00"
"AI0322","145",,"2016-01-02 00:00:00"
"AI0703","330",,"2016-01-01 00:00:00"
"AI0723","210",,"2016-01-01 00:00:00"
"AI0729","150",,"2016-01-02 00:00:00"
"AI0746","90",,"2016-01-10 00:00:00"
"AI0821","89",,"2016-01-01 00:00:00"
"AI0874","140",,"2016-15-01 00:00:00"
"AI1130","110",,"2016-01-02 00:00:00"
"AI1140","90",,"2016-01-02 00:00:00"
"AI1144","90",,"2016-01-02 00:00:00"
"AI2953","150",,"2016-01-02 00:00:00"
