ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AI3231,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adistar-9-inch-shorts-bcq48.html?a=214_56842
AI3274,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/supernova-three-quarter-tights-bcq59.html?a=214_56689
AI3293,160,,160.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/supernova-climachill-tee-bcq68.html?a=214_49239
AI3687,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/supernova-melange-bra-bdd52.html?a=214_56678
AI3701,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/ace-16-2-messenger-bag-bdf17.html?a=214_55828
AI3704,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/ace16-2-backpack-bdf14.html?a=214_56574
AI3708,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/ace16-1-team-bag-bdf11.html?a=214_56423
AI3709,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/ace16-1-backpack-bdf10.html?a=214_55840
AI3741,150,,150.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/techfit-climachill-bra-bbn24.html?a=214_48155
AI3742,130,,130.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/seamless-bra-bbm65.html?a=214_49717
AI3747,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/skinny-workout-pants-bbn08.html?a=214_48167
AI3985,150,,150.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/climachill-shorts-bbl84.html?a=214_49643
AI4460,134,,134.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/climacool-aeroknit-tee-bdm18.html?a=214_49615
