ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AK1188,159,,159.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/logo-cuffed-track-pants-bho32.html?a=214_56662
AK1193,79,,79.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/logo-tee-bho35.html?a=214_56656
AK1195,79,,79.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/logo-tee-bho35.html?a=214_56664
AK1200,119,,119.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/logo-shorts-bho37.html?a=214_56837
AK1535,90,,90.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/gym-training-tee-bfn35.html?a=214_56066
AK1601,220,,220.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/linear-3-stripes-two-in-one-pants-bft63.html?a=214_56976
AK1603,199,,199.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/linear-3-stripes-pants-bft62.html?a=214_49601
AK1617,75,,75.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-3-stripes-chelsea-shorts-jpe02.html?a=214_56964
AK1618,75,,75.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/sport-essentials-3-stripes-chelsea-shorts-jpe02.html?a=214_49639
AK1757,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-polo-shirt-jmj49.html?a=214_56972
AK1764,120,,120.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/sport-essentials-polo-shirt-bfr55.html?a=214_49664
AK1765,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-polo-shirt-bfr55.html?a=214_57003
AK1794,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-logo-tee-gwn33.html?a=214_56892
AK1795,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-logo-tee-gwn33.html?a=214_57025
AK1796,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-logo-tee-gwn33.html?a=214_57007
AK1798,80,,80.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/sport-essentials-logo-tee-gwn33.html?a=214_49476
AK1801,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-logo-hoodie-gwn36.html?a=214_56854
AK1822,99,,99.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/linear-3-stripes-tee-bfs45.html?a=214_57021
AK1823,99,,99.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/linear-3-stripes-tee-bfs45.html?a=214_56928
AK1824,220,,220.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/linear-3-stripes-crew-sweatshirt-bfs43.html?a=214_57017
AK1906,100,,100.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-tee-bfs53.html?a=214_55959
AK1907,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-hoodie-bfs54.html?a=214_55984
AK1945,160,,160.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-logo-sweat-pant-gwn38.html?a=214_57005
AK1959,75,,75.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/rock-it-tee-bfm58.html?a=214_56028
AK2036,70,,70.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/wardrobe-fitness-tank-top-bfn85.html?a=214_55915
AK2066,70,,70.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/wardrobe-linear-logo-tee-bfn67.html?a=214_55816
AK2080,70,,70.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/wardrobe-style-typo-tee-bfn65.html?a=214_48356
AK2081,70,,70.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/wardrobe-style-typo-tee-bfn65.html?a=214_48207
AK2094,160,,160.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/supernova-tee-kaw07.html?a=214_56672
AK2146,110,,110.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/wardrobe-fitness-three-quarter-tights-bfn91.html?a=214_55834
AK2259,100,,100.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/daily-backpack-bhv40.html?a=214_49364
AK2260,100,,100.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/daily-backpack-bhv40.html?a=214_49710
AK2263,40,,40.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/daily-gym-sack-bhv41.html?a=214_49350
AK2266,40,,40.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/daily-gym-sack-bhv41.html?a=214_49352
AK2298,20,,20.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/solid-crew-socks-1-pair-bhv51.html?a=214_49360
AK2299,20,,20.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/solid-crew-socks-1-pair-bhv51.html?a=214_49346
AK2300,20,,20.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/solid-crew-socks-1-pair-bhv51.html?a=214_49344
AK2311,20,,20.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/solid-ped-socks-1-pair-bhv56.html?a=214_49356
AK2312,20,,20.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/solid-ped-socks-1-pair-bhv56.html?a=214_49358
AK2313,20,,20.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/solid-ped-socks-1-pair-bhv56.html?a=214_49366
AK2366,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adidas-neo-park-backpack-bhv79.html?a=214_56790
AK2367,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adidas-neo-park-backpack-bhv79.html?a=214_57043
AK2368,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adidas-neo-park-backpack-bhv79.html?a=214_56784
AK2369,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adidas-neo-park-messenger-bag-bhv80.html?a=214_56774
AK2370,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adidas-neo-park-messenger-bag-bhv80.html?a=214_56776
AK2378,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/daily-backpack-bhv84.html?a=214_56780
AK2379,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/daily-backpack-bhv84.html?a=214_57039
AK2380,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/daily-backpack-bhv84.html?a=214_57041
AK2472,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/authentic-pants-bhw19.html?a=214_56863
AK2473,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/authentic-pants-bhw19.html?a=214_57029
AK2518,100,,100.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/gym-climacool-aeroknit-tee-bfn53.html?a=214_55996
AK2563,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/gym-training-three-quarter-pants-bfn40.html?a=214_56046
AK2658,90,,90.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-workout-bra-bfu17.html?a=214_48090
AK2661,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/training-clima-tee-bfu18.html?a=214_55953
AK2662,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/training-clima-tee-bfu18.html?a=214_55856
AK2684,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/daybreaker-hoodie-bfu28.html?a=214_55885
AK2700,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/locker-room-performer-shorts-bfs09.html?a=214_55360
AK2701,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/locker-room-performer-brand-short-bfs11.html?a=214_56611
