ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AQ6763,419,,419.00,,Yes,Success,2016-24-02 00:00:00,http://adidasmystg.specom.io/pure-boost-zg-prime-shoes-kdy19.html?a=214_56447
AQ7412,579,,579.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/j-wall-2-0-boost-shoes-gtw56.html?a=214_57083
AQ8212,430,,430.00,,Yes,Success,2016-13-02 00:00:00,http://adidasmystg.specom.io/zx-flux-shoes-gua45.html?a=214_57092
AQ8489,399,,399.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/d-rose-773-4-shoes-iag12.html?a=214_47898
AQ8490,399,,399.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/d-rose-773-shoes-iag13.html?a=214_55714
AZ3246,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/shell-tile-superstar-track-jacket-buv18.html?a=214_57106
AZ4939,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/shell-tile-boyfriend-tee-bsq57.html?a=214_57069
AZ4941,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/shell-tile-new-boyfriend-tee-bsq59.html?a=214_57110
AZ4943,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/shell-tile-leggings-bsq61.html?a=214_57098
AZ4946,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/shell-tile-pleated-skirt-bsq64.html?a=214_57077
B27136,330,,330.00,,Yes,Success,2015-01-02 00:00:00,http://adidasmystg.specom.io/superstar-foundation-shoes-ikg83.html?a=214_24984
B40197,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/oracle-6-stripes-shoes-jkt92.html?a=214_55339
B48968,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/classic-team-boxy-trend-tee-bub48.html?a=214_57065
B48970,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/classic-team-tee-bub50.html?a=214_57102
B48974,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/classic-team-track-pants-bub54.html?a=214_57073
B48990,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/shell-tile-backpack-bub70.html?a=214_57114
D67479,60,,60.00,,Yes,Success,2014-01-06 00:00:00,http://adidasmystg.specom.io/duramo-slides-9.html?a=214_55325
F37123,479,,479.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/d-lillard-2-0-shoes-iab97.html?a=214_55677
F37124,479,,479.00,,Yes,Success,2016-05-02 00:00:00,http://adidasmystg.specom.io/d-lillard-2-0-shoes-iab98.html?a=214_55698
F37147,560,,560.00,,Yes,Success,2016-28-01 00:00:00,http://adidasmystg.specom.io/crazylight-boost-2-5-low-shoes-iac17.html?a=214_47814
F99357,195,,195.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/coneo-qt-shoes-btj48.html?a=214_48046
F99366,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/city-racer-shoes-jao66.html?a=214_48062
F99461,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/vs-qt-vulc-shoes-btu53.html?a=214_55798
F99462,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/vs-qt-vulc-shoes-btk87.html?a=214_55803
F99466,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/qt-vulc-vs-shoes-btj55.html?a=214_55807
F99567,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-speed-shoes-btu47.html?a=214_48486
F99572,280,,280.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-xpression-shoes-gkm61.html?a=214_56110
F99574,280,,280.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-xpression-shoes-gkm63.html?a=214_56124
F99667,210,,210.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-pure-shoes-btu24.html?a=214_48492
