2016-12-20 13:47:27,929 [DEBUG] devpinoyLogger  - Browser to launch is firefox..
2016-12-20 13:47:29,004 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2016-12-20 13:47:29,015 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2016-12-20 13:47:29,017 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:29,048 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-12-20 13:47:29,050 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://localhost:17250
2016-12-20 13:47:29,051 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to localhost/127.0.0.1:17250
2016-12-20 13:47:29,052 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:21290<->127.0.0.1:17250
2016-12-20 13:47:29,053 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: set socket timeout to 10800000
2016-12-20 13:47:29,053 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session HTTP/1.1
2016-12-20 13:47:29,053 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2016-12-20 13:47:29,053 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> POST /session HTTP/1.1
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Length: 435
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Host: localhost:17250
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)
2016-12-20 13:47:29,055 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2016-12-20 13:47:29,056 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "POST /session HTTP/1.1[\r][\n]"
2016-12-20 13:47:29,056 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
