2016-11-10 12:22:51,105 [DEBUG] devpinoyLogger  - Browser to launch is firefox..
2016-11-10 12:22:59,350 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2016-11-10 12:22:59,388 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2016-11-10 12:22:59,390 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-10 12:22:59,426 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-11-10 12:22:59,428 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2016-11-10 12:22:59,429 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2016-11-10 12:22:59,431 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:48041<->127.0.0.1:7055
2016-11-10 12:22:59,431 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: set socket timeout to 10800000
2016-11-10 12:22:59,431 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session HTTP/1.1
2016-11-10 12:22:59,431 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2016-11-10 12:22:59,432 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> POST /hub/session HTTP/1.1
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Length: 105
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Host: 127.0.0.1:7055
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.7.0_51)
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "POST /hub/session HTTP/1.1[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Length: 105[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Host: 127.0.0.1:7055[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.7.0_51)[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
2016-11-10 12:22:59,433 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "{"desiredCapabilities":{"platform":"ANY","browserName":"firefox","version":""},"requiredCapabilities":{}}"
2016-11-10 12:22:59,482 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2016-11-10 12:22:59,482 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "content-type: application/json; charset=UTF-8[\r][\n]"
2016-11-10 12:22:59,482 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "connection: close[\r][\n]"
2016-11-10 12:22:59,482 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "content-length: 421[\r][\n]"
2016-11-10 12:22:59,482 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "server: httpd.js[\r][\n]"
2016-11-10 12:22:59,482 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "date: Thu, 10 Nov 2016 06:52:59 GMT[\r][\n]"
2016-11-10 12:22:59,483 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "[\r][\n]"
2016-11-10 12:22:59,485 [DEBUG] org.apache.http.headers  - http-outgoing-0 << HTTP/1.1 200 OK
2016-11-10 12:22:59,485 [DEBUG] org.apache.http.headers  - http-outgoing-0 << content-type: application/json; charset=UTF-8
2016-11-10 12:22:59,485 [DEBUG] org.apache.http.headers  - http-outgoing-0 << connection: close
2016-11-10 12:22:59,485 [DEBUG] org.apache.http.headers  - http-outgoing-0 << content-length: 421
2016-11-10 12:22:59,485 [DEBUG] org.apache.http.headers  - http-outgoing-0 << server: httpd.js
2016-11-10 12:22:59,485 [DEBUG] org.apache.http.headers  - http-outgoing-0 << date: Thu, 10 Nov 2016 06:52:59 GMT
