"articlenumber_value","price","special_price","releasedate"
"078260","1695",,"2009-01-01 00:00:00"
"A45978","3495",,"2015-01-01 00:00:00"
"AA0594","2995",,"2015-01-06 00:00:00"
"AA0647","995",,"2015-01-07 00:00:00"
"AA2140","795",,"2015-01-07 00:00:00"
"AA2219","3295",,"2015-15-06 00:00:00"
"AA2728","795",,"2015-01-07 00:00:00"
"AA5541","1895",,"2016-01-02 00:00:00"
"AA5551","1895",,"2015-01-07 00:00:00"
"AA5567","1495",,"2016-01-02 00:00:00"
"AA5619","1095",,"2015-01-11 00:00:00"
"AA5670","3495",,"2015-01-08 00:00:00"
"AA6437","2495",,"2016-01-02 00:00:00"
"AA6905","995",,"2015-01-07 00:00:00"
"AA6910","1095",,"2015-01-11 00:00:00"
"AB6421","1895",,"2015-01-10 00:00:00"
"AC0547","2995",,"2016-01-01 00:00:00"
"AC1597","895",,"2016-01-01 00:00:00"
"AC2099","1695",,"2016-01-02 00:00:00"
"AC2395","1095",,"2015-28-08 00:00:00"
"AC2555","2295",,"2016-01-02 00:00:00"
"AC2560","3495",,"2016-01-02 00:00:00"
"AC2635","3495",,"2016-01-02 00:00:00"
"AC2636","3495",,"2016-01-02 00:00:00"
"AC2638","3495",,"2016-01-02 00:00:00"
"AC2645","2495",,"2016-01-02 00:00:00"
"AC2650","2495",,"2016-01-02 00:00:00"
"AC2651","2495",,"2016-01-02 00:00:00"
"AC2653","2495",,"2016-01-02 00:00:00"
"AC2655","2995",,"2016-01-02 00:00:00"
"AC5487","6495",,"2016-01-02 00:00:00"
"AC5488","1095",,"2016-01-02 00:00:00"
"AF4068","2995",,"2016-01-01 00:00:00"
"AF4069","2995",,"2016-01-01 00:00:00"
"AF4110","4295",,"2016-01-02 00:00:00"
"AF4111","4295",,"2016-01-02 00:00:00"
"AF4112","4295",,"2016-01-02 00:00:00"
"AF4114","4295",,"2016-01-02 00:00:00"
"AF4118","4295",,"2016-01-02 00:00:00"
"AF4420","2995",,"2016-01-02 00:00:00"
"AF4612","895",,"2016-15-03 00:00:00"
"AF4638","1995",,"2016-01-01 00:00:00"
"AF4917","7995",,"2016-01-01 00:00:00"
"AF5034","2295",,"2016-29-01 00:00:00"
"AF5040","2895",,"2016-29-01 00:00:00"
"AF5083","10595",,"2016-29-01 00:00:00"
"AF5145","3895",,"2016-29-01 00:00:00"
"AF5179","3895",,"2016-29-01 00:00:00"
"AF5305","2695",,"2016-01-02 00:00:00"
"AF5444","4995",,"2016-15-01 00:00:00"
"AF5573","2495",,"2016-15-01 00:00:00"
"AF5872","2895",,"2016-01-01 00:00:00"
"AF5916","4495",,"2016-21-01 00:00:00"
"AF5926","5795",,"2016-01-02 00:00:00"
"AF5999","3795",,"2016-01-02 00:00:00"
"AF6028","2995",,"2016-01-01 00:00:00"
"AF6148","3695",,"2016-01-02 00:00:00"
