"articlenumber_value","price","special_price","releasedate"
"078260","49",,"2009-01-08 00:00:00"
"A45978","119",,"2015-01-01 00:00:00"
"AA0109","69",,"2016-01-01 00:00:00"
"AA0125","69",,"2016-01-01 00:00:00"
"AA0594","89",,"2015-01-06 00:00:00"
"AA0647","39",,"2015-01-07 00:00:00"
"AA2140","29",,"2015-01-07 00:00:00"
"AA2219","109",,"2015-15-06 00:00:00"
"AA2728","25",,"2015-01-07 00:00:00"
"AA5541","59",,"2016-01-02 00:00:00"
"AA5551","65",,"2015-01-07 00:00:00"
"AA5567","59",,"2015-01-11 00:00:00"
"AA5619","45",,"2015-01-11 00:00:00"
"AA5670","129",,"2015-01-08 00:00:00"
"AA6437","69",,"2016-01-02 00:00:00"
"AA6905","39",,"2015-01-07 00:00:00"
"AA6910","45",,"2015-01-11 00:00:00"
"AB6421","49",,"2015-01-10 00:00:00"
"AC0547","89",,"2016-01-01 00:00:00"
"AC1597","29",,"2016-01-01 00:00:00"
"AC2099","65",,"2016-01-02 00:00:00"
"AC2395","35",,"2015-28-08 00:00:00"
"AC2555","69",,"2016-01-02 00:00:00"
"AC2560","119",,"2016-01-02 00:00:00"
"AC2635","119",,"2016-01-02 00:00:00"
"AC2636","119",,"2016-01-02 00:00:00"
"AC2638","119",,"2016-01-02 00:00:00"
"AC2645","75",,"2016-01-02 00:00:00"
"AC2650","75",,"2016-01-02 00:00:00"
"AC2651","75",,"2016-01-02 00:00:00"
"AC2653","75",,"2016-01-02 00:00:00"
"AC2655","109",,"2016-01-02 00:00:00"
"AC5421","29",,"2016-01-01 00:00:00"
"AC5487","189",,"2016-01-02 00:00:00"
"AC5488","35",,"2016-01-02 00:00:00"
"AC5489","35",,"2016-01-02 00:00:00"
"AC5495","19",,"2016-01-02 00:00:00"
"AC5496","59",,"2016-01-02 00:00:00"
"AC8741","559",,"2016-01-02 00:00:00"
"AF4068","99",,"2016-01-01 00:00:00"
"AF4069","99",,"2016-01-01 00:00:00"
"AF4110","129",,"2016-01-02 00:00:00"
"AF4111","129",,"2016-01-02 00:00:00"
"AF4112","129",,"2016-01-02 00:00:00"
"AF4114","129",,"2016-01-02 00:00:00"
"AF4118","129",,"2016-01-02 00:00:00"
"AF4358","49",,"2016-01-02 00:00:00"
"AF4359","49",,"2016-01-02 00:00:00"
"AF4370","39",,"2016-01-02 00:00:00"
"AF4371","65",,"2016-01-02 00:00:00"
"AF4373","79",,"2016-01-02 00:00:00"
"AF4420","99",,"2016-01-02 00:00:00"
"AF4501","69",,"2016-01-02 00:00:00"
"AF4502","69",,"2016-01-02 00:00:00"
"AF4524","49",,"2016-01-01 00:00:00"
"AF4612","29",,"2016-01-02 00:00:00"
"AF4624","89",,"2016-01-01 00:00:00"
"AF4630","79",,"2016-01-02 00:00:00"
"AF4638","59",,"2016-01-01 00:00:00"
"AF4917","239",,"2016-01-01 00:00:00"
"AF5034","59",,"2016-29-01 00:00:00"
"AF5039","79",,"2016-29-01 00:00:00"
"AF5040","79",,"2016-29-01 00:00:00"
"AF5082","299",,"2016-29-01 00:00:00"
"AF5083","299",,"2016-29-01 00:00:00"
"AF5090","159",,"2016-29-01 00:00:00"
"AF5099","299",,"2016-29-01 00:00:00"
"AF5145","109",,"2016-29-01 00:00:00"
"AF5154","79",,"2016-29-01 00:00:00"
"AF5179","109",,"2016-29-01 00:00:00"
"AF5181","109",,"2016-29-01 00:00:00"
"AF5186","79",,"2016-29-01 00:00:00"
"AF5266","159",,"2016-29-01 00:00:00"
"AF5268","159",,"2016-29-01 00:00:00"
"AF5297","89",,"2016-26-02 00:00:00"
"AF5305","79",,"2016-01-02 00:00:00"
"AF5444","149",,"2016-15-01 00:00:00"
"AF5573","69",,"2016-15-01 00:00:00"
"AF5855","139",,"2016-01-01 00:00:00"
"AF5872","79",,"2016-01-01 00:00:00"
"AF5916","135",,"2016-21-01 00:00:00"
"AF5926","169",,"2016-01-02 00:00:00"
"AF5999","109",,"2016-01-02 00:00:00"
"AF6028","99",,"2016-01-01 00:00:00"
"AF6133","59",,"2016-01-01 00:00:00"
"AF6218","149",,"2016-01-01 00:00:00"
"AF6431","239",,"2016-15-02 00:00:00"
"AF6432","239",,"2016-15-02 00:00:00"
"AF6466","199",,"2016-01-01 00:00:00"
"AF6471","189",,"2016-01-02 00:00:00"
"AF6488","189",,"2016-01-02 00:00:00"
"AF6516","289",,"2016-01-01 00:00:00"
"AF6554","199",,"2016-01-02 00:00:00"
"AF6567","199",,"2016-01-02 00:00:00"
"AF6598","79",,"2016-01-02 00:00:00"
"AF6601","79",,"2016-01-02 00:00:00"
"AF6602","79",,"2016-01-02 00:00:00"
"AF6644","109",,"2016-01-01 00:00:00"
"AF6647","109",,"2016-01-01 00:00:00"
"AF6648","109",,"2016-01-01 00:00:00"
"AF6650","109",,"2016-01-01 00:00:00"
"AF6665","99",,"2016-01-01 00:00:00"
"AF6676","99",,"2016-01-01 00:00:00"
"AF6678","99",,"2016-01-01 00:00:00"
"AF6783","99",,"2016-01-01 00:00:00"
"AF6784","105",,"2016-01-02 00:00:00"
"AF6796","209",,"2016-01-01 00:00:00"
"AH4136","45",,"2016-01-02 00:00:00"
"AH4137","45",,"2016-01-02 00:00:00"
"AH5049","45",,"2016-01-01 00:00:00"
"AH5073","39",,"2016-01-01 00:00:00"
"AH5079","29",,"2016-01-01 00:00:00"
"AH5108","109",,"2015-22-07 00:00:00"
"AH5745","99",,"2016-01-01 00:00:00"
"AH5747","15",,"2016-01-01 00:00:00"
"AH6762","19",,"2015-01-06 00:00:00"
"AH7803","139",,"2016-01-02 00:00:00"
"AH7807","179",,"2016-01-02 00:00:00"
"AH7813","25",,"2016-01-02 00:00:00"
"AH7815","79",,"2016-01-02 00:00:00"
"AH8855","69",,"2016-21-01 00:00:00"
"AH8892","129",,"2016-21-01 00:00:00"
"AH8895","55",,"2016-21-01 00:00:00"
"AH9165","45",,"2016-01-02 00:00:00"
"AH9675","89",,"2016-15-01 00:00:00"
"AH9964","59",,"2016-01-02 00:00:00"
"AI0322","59",,"2016-01-02 00:00:00"
"AI0484","45",,"2016-01-02 00:00:00"
"AI0485","45",,"2016-01-02 00:00:00"
"AI0703","149",,"2016-01-01 00:00:00"
"AI0723","85",,"2016-01-01 00:00:00"
"AI0729","65",,"2016-01-02 00:00:00"
"AI0746","45",,"2016-01-01 00:00:00"
"AI0821","39",,"2016-01-01 00:00:00"
"AI0874","59",,"2016-15-01 00:00:00"
"AI1130","55",,"2016-01-02 00:00:00"
"AI1140","49",,"2016-01-02 00:00:00"
"AI1144","49",,"2016-01-02 00:00:00"
"AI1145","45",,"2016-01-02 00:00:00"
"AI2953","65",,"2016-01-02 00:00:00"
"AI3174","69",,"2016-01-01 00:00:00"
"AI3178","69",,"2016-01-02 00:00:00"
"AI3180","69",,"2016-01-02 00:00:00"
"AI3183","65",,"2016-01-02 00:00:00"
"AI3206","45",,"2016-01-02 00:00:00"
"AI3210","65",,"2016-01-01 00:00:00"
"AI3224","79",,"2016-01-02 00:00:00"
"AI3231","75",,"2016-01-02 00:00:00"
"AI3274","75",,"2016-01-02 00:00:00"
"AI3293","69",,"2016-15-01 00:00:00"
"AI3687","65",,"2016-01-02 00:00:00"
"AI3701","59",,"2016-01-02 00:00:00"
"AI3704","59",,"2016-01-02 00:00:00"
"AI3708","99",,"2016-01-02 00:00:00"
"AI3709","99",,"2016-01-02 00:00:00"
"AI3741","59",,"2016-15-01 00:00:00"
"AI3742","49",,"2016-01-01 00:00:00"
"AI3747","89",,"2016-01-01 00:00:00"
"AI3985","59",,"2016-15-01 00:00:00"
"AI4460","49",,"2016-01-01 00:00:00"
"AI4463","49",,"2016-01-01 00:00:00"
"AI4541","69",,"2016-01-02 00:00:00"
"AI4855","99",,"2016-01-01 00:00:00"
"AI4862","15",,"2016-01-01 00:00:00"
"AI7286","79",,"2016-01-02 00:00:00"
"AI7476","39",,"2016-01-02 00:00:00"
"AI7477","89",,"2016-01-02 00:00:00"
"AI7478","89",,"2016-01-02 00:00:00"
"AI7480","69",,"2016-01-01 00:00:00"
"AI7499","39",,"2016-01-01 00:00:00"
"AI7993","59",,"2016-01-02 00:00:00"
"AI8035","129",,"2016-01-02 00:00:00"
"AI8111","39",,"2016-01-02 00:00:00"
"AI8119","45",,"2016-01-02 00:00:00"
"AI8197","39",,"2016-01-01 00:00:00"
"AI8259","75",,"2016-01-02 00:00:00"
"AI8267","39",,"2016-01-02 00:00:00"
"AI8269","45",,"2016-01-02 00:00:00"
"AI8316","59",,"2016-15-01 00:00:00"
"AI8336","59",,"2016-01-02 00:00:00"
"AI8383","89",,"2016-15-02 00:00:00"
"AI8448","119",,"2016-15-01 00:00:00"
"AI8451","109",,"2016-15-02 00:00:00"
"AI8457","159",,"2016-15-02 00:00:00"
"AI8459","159",,"2016-15-02 00:00:00"
"AI8464","109",,"2016-15-02 00:00:00"
"AI8762","159",,"2016-15-02 00:00:00"
"AI8771","99",,"2016-15-02 00:00:00"
"AI8874","119",,"2016-15-02 00:00:00"
"AI8911","89",,"2016-15-02 00:00:00"
"AI9174","129",,"2016-01-01 00:00:00"
"AI9255","49",,"2016-01-01 00:00:00"
"AJ0022","29",,"2016-01-01 00:00:00"
"AJ0023","55",,"2016-01-01 00:00:00"
"AJ0025","75",,"2016-01-01 00:00:00"
"AJ0071","45",,"2016-01-01 00:00:00"
"AJ0221","29",,"2016-01-01 00:00:00"
"AJ0223","75",,"2016-01-01 00:00:00"
"AJ0266","35",,"2016-01-01 00:00:00"
"AJ0267","35",,"2016-01-01 00:00:00"
"AJ0275","55",,"2016-01-01 00:00:00"
"AJ0276","75",,"2016-01-01 00:00:00"
"AJ0535","75",,"2016-01-02 00:00:00"
"AJ0536","75",,"2016-01-02 00:00:00"
"AJ0538","49",,"2016-01-02 00:00:00"
"AJ0539","49",,"2016-01-02 00:00:00"
"AJ0963","59",,"2016-15-01 00:00:00"
"AJ1246","99",,"2016-01-02 00:00:00"
"AJ1247","99",,"2016-01-02 00:00:00"
"AJ1278","39",,"2016-01-01 00:00:00"
"AJ1363","26",,"2016-01-01 00:00:00"
"AJ1364","26",,"2016-01-01 00:00:00"
"AJ1366","26",,"2016-01-01 00:00:00"
"AJ1369","26",,"2016-01-01 00:00:00"
"AJ1389","22",,"2016-01-01 00:00:00"
"AJ1390","22",,"2016-01-01 00:00:00"
"AJ1391","22",,"2016-01-01 00:00:00"
"AJ1392","22",,"2016-01-01 00:00:00"
"AJ1393","22",,"2016-01-01 00:00:00"
"AJ1524","85",,"2016-01-01 00:00:00"
"AJ1544","65",,"2016-01-02 00:00:00"
"AJ1547","55",,"2016-01-02 00:00:00"
"AJ1551","55",,"2016-01-02 00:00:00"
"AJ1715","39",,"2016-01-01 00:00:00"
"AJ1764","45",,"2016-01-02 00:00:00"
"AJ1891","45",,"2016-01-01 00:00:00"
"AJ1949","45",,"2016-01-01 00:00:00"
"AJ2004","29",,"2016-01-01 00:00:00"
"AJ2005","29",,"2016-01-01 00:00:00"
"AJ2265","65",,"2016-01-02 00:00:00"
"AJ3208","79",,"2016-01-01 00:00:00"
"AJ3215","55",,"2016-01-02 00:00:00"
"AJ3219","55",,"2016-01-01 00:00:00"
"AJ3222","65",,"2016-01-02 00:00:00"
"AJ3248","49",,"2016-01-01 00:00:00"
"AJ3249","49",,"2016-01-01 00:00:00"
"AJ3251","49",,"2016-01-01 00:00:00"
"AJ3255","39",,"2016-01-01 00:00:00"
"AJ3274","39",,"2016-01-01 00:00:00"
"AJ3277","39",,"2016-01-01 00:00:00"
"AJ3282","39",,"2016-01-01 00:00:00"
"AJ3790","99",,"2016-01-01 00:00:00"
"AJ4065","75",,"2016-01-01 00:00:00"
"AJ4208","45",,"2016-01-02 00:00:00"
"AJ4775","39",,"2016-01-02 00:00:00"
"AJ4785","39",,"2016-01-02 00:00:00"
"AJ4786","79",,"2016-01-02 00:00:00"
"AJ4791","99",,"2016-01-02 00:00:00"
"AJ4799","49",,"2016-01-01 00:00:00"
"AJ4811","119",,"2016-15-02 00:00:00"
"AJ4813","119",,"2016-01-02 00:00:00"
"AJ4850","45",,"2016-01-01 00:00:00"
"AJ4861","109",,"2016-01-02 00:00:00"
"AJ4862","109",,"2016-01-02 00:00:00"
"AJ4876","45",,"2016-01-02 00:00:00"
"AJ4878","45",,"2016-01-02 00:00:00"
"AJ4932","59",,"2016-01-02 00:00:00"
"AJ4933","59",,"2016-01-02 00:00:00"
"AJ4958","35",,"2016-01-01 00:00:00"
"AJ5018","45",,"2016-01-01 00:00:00"
"AJ5026","69",,"2016-01-02 00:00:00"
"AJ5029","69",,"2016-01-01 00:00:00"
"AJ5058","45",,"2016-01-02 00:00:00"
"AJ5059","45",,"2016-01-02 00:00:00"
"AJ5069","49",,"2016-01-02 00:00:00"
"AJ5179","79",,"2016-01-01 00:00:00"
"AJ5337","35",,"2016-01-02 00:00:00"
"AJ5499","39",,"2016-01-01 00:00:00"
"AJ5500","39",,"2016-01-02 00:00:00"
"AJ5503","49",,"2016-01-02 00:00:00"
"AJ5507","49",,"2016-01-02 00:00:00"
"AJ5515","59",,"2016-01-02 00:00:00"
"AJ5519","59",,"2016-01-02 00:00:00"
"AJ5521","69",,"2016-01-02 00:00:00"
"AJ5522","69",,"2016-01-02 00:00:00"
"AJ5523","59",,"2016-01-02 00:00:00"
"AJ5524","59",,"2016-01-02 00:00:00"
"AJ5552","109",,"2016-01-02 00:00:00"
"AJ5553","109",,"2016-01-02 00:00:00"
"AJ5563","89",,"2016-01-02 00:00:00"
"AJ5577","89",,"2016-01-02 00:00:00"
"AJ5590","29",,"2016-01-02 00:00:00"
"AJ5591","29",,"2016-01-02 00:00:00"
"AJ5597","79",,"2016-01-02 00:00:00"
"AJ5632","35",,"2016-01-01 00:00:00"
"AJ5712","99",,"2016-01-01 00:00:00"
"AJ5743","39",,"2016-01-02 00:00:00"
"AJ5750","49",,"2016-01-02 00:00:00"
"AJ5751","49",,"2016-01-01 00:00:00"
"AJ5757","39",,"2016-01-02 00:00:00"
"AJ5758","39",,"2016-01-01 00:00:00"
"AJ5762","35",,"2016-01-02 00:00:00"
"AJ5775","89",,"2016-01-02 00:00:00"
"AJ5778","59",,"2016-01-02 00:00:00"
"AJ6044","39",,"2016-01-02 00:00:00"
"AJ6053","99",,"2016-01-02 00:00:00"
"AJ6067","45",,"2016-01-02 00:00:00"
"AJ6131","35",,"2016-01-01 00:00:00"
"AJ6133","79",,"2016-01-01 00:00:00"
"AJ6220","39",,"2016-01-02 00:00:00"
"AJ6223","59",,"2016-01-02 00:00:00"
