"articlenumber_value","price","special_price","releasedate"
"078260","1290",,"2010-01-09 00:00:00"
"AA0109","1790",,"2016-01-01 00:00:00"
"AA0125","1790",,"2016-01-01 00:00:00"
"AA0594","2190",,"2015-01-06 00:00:00"
"AA0647","790",,"2015-01-07 00:00:00"
"AA2140","690",,"2015-01-07 00:00:00"
"AA2219","2790",,"2015-15-06 00:00:00"
"AA2728","790",,"2015-01-07 00:00:00"
"AA5541","1390",,"2016-01-02 00:00:00"
"AA5551","1390",,"2015-01-07 00:00:00"
"AA5567","1290",,"2015-01-11 00:00:00"
"AA5619","890",,"2015-01-11 00:00:00"
"AA5670","2990",,"2015-01-08 00:00:00"
"AA6437","1590",,"2016-01-02 00:00:00"
"AA6905","790",,"2015-01-07 00:00:00"
"AA6910","890",,"2015-01-11 00:00:00"
"AB6421","1190",,"2015-01-10 00:00:00"
"AC1597","790",,"2016-01-01 00:00:00"
"AC2099","1390",,"2016-01-02 00:00:00"
"AC2395","750",,"2015-28-08 00:00:00"
"AC5421","590",,"2016-01-01 00:00:00"
"AC5487","3990",,"2016-01-02 00:00:00"
"AC5488","750",,"2016-01-02 00:00:00"
"AC5489","750",,"2016-01-02 00:00:00"
"AC5496","1590",,"2016-01-02 00:00:00"
"AC8741","14490",,"2016-01-02 00:00:00"
"AF4068","2290",,"2016-01-01 00:00:00"
"AF4069","2290",,"2016-01-01 00:00:00"
"AF4110","3290",,"2016-01-02 00:00:00"
"AF4111","3290",,"2016-01-02 00:00:00"
"AF4112","3290",,"2016-01-02 00:00:00"
"AF4114","3290",,"2016-01-02 00:00:00"
"AF4118","3290",,"2016-01-02 00:00:00"
"AF4370","1090",,"2016-01-02 00:00:00"
"AF4371","1690",,"2016-01-02 00:00:00"
"AF4373","1990",,"2016-01-02 00:00:00"
"AF4420","2290",,"2016-01-02 00:00:00"
"AF4501","1590",,"2016-01-02 00:00:00"
"AF4502","1590",,"2016-01-02 00:00:00"
"AF4612","690",,"2016-15-03 00:00:00"
"AF4638","1590",,"2016-01-01 00:00:00"
"AF4917","5990",,"2016-01-01 00:00:00"
"AF5034","1590",,"2016-29-01 00:00:00"
"AF5039","1990",,"2016-29-01 00:00:00"
"AF5040","1990",,"2016-29-01 00:00:00"
"AF5082","7990",,"2016-29-01 00:00:00"
"AF5083","7990",,"2016-29-01 00:00:00"
"AF5090","3990",,"2016-29-01 00:00:00"
"AF5099","7990",,"2016-29-01 00:00:00"
"AF5145","2990",,"2016-29-01 00:00:00"
"AF5154","2290",,"2016-29-01 00:00:00"
"AF5179","2990",,"2016-29-01 00:00:00"
"AF5181","2990",,"2016-29-01 00:00:00"
"AF5186","2290",,"2016-29-01 00:00:00"
"AF5266","4190",,"2016-29-01 00:00:00"
"AF5268","4190",,"2016-29-01 00:00:00"
"AF5297","2390",,"2016-26-02 00:00:00"
"AF5305","1990",,"2016-01-02 00:00:00"
"AF5444","4490",,"2016-15-01 00:00:00"
"AF5573","1990",,"2016-15-01 00:00:00"
"AF5855","3790",,"2016-01-01 00:00:00"
"AF5872","1990",,"2016-01-01 00:00:00"
"AF5916","3390",,"2016-21-01 00:00:00"
"AF5926","4690",,"2016-01-02 00:00:00"
"AF5999","2690",,"2016-01-02 00:00:00"
"AF6028","2290",,"2016-01-01 00:00:00"
"AF6218","4190",,"2016-01-01 00:00:00"
"AF6431","6090",,"2016-15-02 00:00:00"
"AF6432","6090",,"2016-15-02 00:00:00"
"AF6554","5590",,"2016-01-02 00:00:00"
"AF6598","1990",,"2016-01-02 00:00:00"
"AF6601","1990",,"2016-01-02 00:00:00"
"AF6602","1990",,"2016-01-02 00:00:00"
"AF6644","2490",,"2016-01-01 00:00:00"
"AF6647","2490",,"2016-01-01 00:00:00"
"AF6648","2490",,"2016-01-01 00:00:00"
"AF6650","2490",,"2016-01-01 00:00:00"
"AF6665","2290",,"2016-01-01 00:00:00"
"AF6676","2290",,"2016-01-01 00:00:00"
"AF6783","2290",,"2016-01-01 00:00:00"
"AF6784","2990",,"2016-01-02 00:00:00"
"AF6796","5390",,"2016-01-01 00:00:00"
"AH5049","1090",,"2016-01-01 00:00:00"
"AH5108","2790",,"2015-22-07 00:00:00"
"AH5745","2390",,"2016-01-01 00:00:00"
"AH5747","250",,"2016-01-01 00:00:00"
"AH6762","490",,"2015-01-06 00:00:00"
"AH7803","3690",,"2016-01-02 00:00:00"
"AH7807","4590",,"2016-01-02 00:00:00"
"AH7813","690",,"2016-01-02 00:00:00"
"AH7815","2290",,"2016-01-02 00:00:00"
"AH8855","1790",,"2016-21-01 00:00:00"
"AH8892","3290",,"2016-21-01 00:00:00"
"AH8895","1490",,"2016-21-01 00:00:00"
"AH9165","890",,"2016-01-02 00:00:00"
"AH9675","2090",,"2016-15-01 00:00:00"
"AH9964","1390",,"2016-01-02 00:00:00"
"AI0322","1490",,"2016-01-02 00:00:00"
"AI0703","3390",,"2016-01-01 00:00:00"
"AI0723","1790",,"2016-01-01 00:00:00"
