ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

078260,130,,130.00,,Yes,Success,2010-01-09 00:00:00,http://adidasmystg.specom.io/adissage-synthetic-6.html?a=214_49733
A45978,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/los-angeles-lakers-road-swingman-jersey-fn944.html?a=214_27071
AA0594,220,,,,,,2015-01-06 00:00:00,Article NOT found
AA0647,80,,80.00,,Yes,Success,2015-01-07 00:00:00,http://adidasmystg.specom.io/response-sleeveless-m-kav89.html?a=214_28833
AA2140,70,,,,,,2015-01-07 00:00:00,Article NOT found
AA2219,270,,270.00,,Yes,Success,2015-15-06 00:00:00,http://adidasmystg.specom.io/real-madrid-away-replica-player-jersey-aar73.html?a=214_25201
AA2728,55,,,,,,2015-01-07 00:00:00,Article NOT found
AA5541,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/supernova-fitted-tank-top-kaw17.html?a=214_55349
AA5551,180,,,,,,2015-01-07 00:00:00,Article NOT found
AA5567,130,,130.00,,Yes,Success,2015-01-11 00:00:00,http://adidasmystg.specom.io/supernova-singlet-kaw10.html?a=214_35086
AA5619,90,,90.00,,Yes,Success,2015-01-11 00:00:00,http://adidasmystg.specom.io/response-cap-sleeve-tee-kav76.html?a=214_35098
AA5670,320,,320.00,,Yes,Success,2015-01-08 00:00:00,http://adidasmystg.specom.io/adistar-primeknit-tee-m-ah582.html?a=214_28796
AA6437,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/barricade-uncontrol-climachill-shorts-jxj35.html?a=214_55354
AA6905,80,,80.00,,Yes,Success,2015-01-07 00:00:00,http://adidasmystg.specom.io/response-singlet-kav88.html?a=214_31997
AA6910,90,,90.00,,Yes,Success,2015-01-11 00:00:00,http://adidasmystg.specom.io/response-tee-kav90.html?a=214_35094
AB6421,102,,102.00,,Yes,Success,2015-01-10 00:00:00,http://adidasmystg.specom.io/base3s-short-kn-jpf74.html?a=214_33905
AC1597,55,,55.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/essentials-chelsea-shorts-apv52.html?a=214_47327
AC2099,160,,160.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/supernova-tee-kaw07.html?a=214_55344
AC2395,70,,70.00,,Yes,Success,2015-28-08 00:00:00,http://adidasmystg.specom.io/finale-15-ball-apy74.html?a=214_31898
AC2555,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-shooter-tee-apz29.html?a=214_56947
AC2560,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-warm-up-jacket-apz32.html?a=214_56940
AC2635,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-swingman-jersey-apz61.html?a=214_56850
AC2636,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-swingman-jersey-apz61.html?a=214_56888
AC2638,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-swingman-jersey-apz61.html?a=214_56942
AC2645,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-replica-jersey-apz62.html?a=214_56859
AC2650,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-fan-shorts-apz64.html?a=214_56930
AC2651,130,,130.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-fan-shorts-apz64.html?a=214_56883
AC2653,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/all-star-crew-sweatshirt-apz65.html?a=214_56926
AC5421,70,,70.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/glider-ball-lpa52.html?a=214_49050
AC5487,440,,440.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/finale-milano-official-match-ball-lpb12.html?a=214_55862
AC5488,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/finale-milano-capitano-ball-lpb13.html?a=214_55893
AC5489,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/finale-milano-capitano-ball-lpb13.html?a=214_55929
AC5495,50,,50.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/finale-milano-top-mini-ball-lpb17.html?a=214_56578
AF4068,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/duramo-trainer-shoes-iuw05.html?a=214_55648
