ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AH9675,89,,,,,Future,2016-15-01 00:00:00,Article NOT found
AH9964,59,,,,,,2016-01-02 00:00:00,Article NOT found
AI0322,59,,,,,,2016-01-02 00:00:00,Article NOT found
AI0484,45,,,,,,2016-01-02 00:00:00,Article NOT found
AI0485,45,,,,,,2016-01-02 00:00:00,Article NOT found
AI0703,149,,149.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/barricade-dress-4056558970650.html?a=214_41299
AI0723,85,,85.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/barricade-tee-4055344265741.html?a=214_40943
AI0729,65,,,,,,2016-01-02 00:00:00,Article NOT found
AI0746,45,,,,,,2016-01-01 00:00:00,Article NOT found
AI0821,39,,,,,,2016-01-01 00:00:00,Article NOT found
AI0874,59,,,,,Future,2016-15-01 00:00:00,Article NOT found
AI1130,55,,,,,,2016-01-02 00:00:00,Article NOT found
AI1140,49,,,,,,2016-01-02 00:00:00,Article NOT found
AI1144,49,,,,,,2016-01-02 00:00:00,Article NOT found
AI1145,45,,,,,,2016-01-02 00:00:00,Article NOT found
AI2953,65,,,,,,2016-01-02 00:00:00,Article NOT found
AI3174,69,,,,,,2016-01-01 00:00:00,Article NOT found
AI3178,69,,,,,,2016-01-02 00:00:00,Article NOT found
AI3180,69,,,,,,2016-01-02 00:00:00,Article NOT found
AI3183,65,,,,,,2016-01-02 00:00:00,Article NOT found
AI3206,45,,,,,,2016-01-02 00:00:00,Article NOT found
AI3210,65,,65.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/grete-graphic-shorts-bbm64.html?a=214_41998
AI3224,79,,,,,,2016-01-02 00:00:00,Article NOT found
AI3231,75,,,,,,2016-01-02 00:00:00,Article NOT found
AI3274,75,,,,,,2016-01-02 00:00:00,Article NOT found
AI3293,69,,,,,Future,2016-15-01 00:00:00,Article NOT found
AI3687,65,,,,,,2016-01-02 00:00:00,Article NOT found
AI3701,59,,,,,,2016-01-02 00:00:00,Article NOT found
AI3704,59,,,,,,2016-01-02 00:00:00,Article NOT found
AI3708,99,,,,,,2016-01-02 00:00:00,Article NOT found
AI3709,99,,,,,,2016-01-02 00:00:00,Article NOT found
AI3741,59,,,,,Future,2016-15-01 00:00:00,Article NOT found
AI3742,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/seamless-bra-4056562716473.html?a=214_42505
AI3747,89,,89.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/skinny-workout-pants-4055343892580.html?a=214_40835
AI3985,59,,,,,Future,2016-15-01 00:00:00,Article NOT found
AI4460,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/climacool-aeroknit-tee-4056562611891.html?a=214_42400
AI4463,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/climacool-aeroknit-tee-4056562611891.html?a=214_42410
AI4541,69,,,,,,2016-01-02 00:00:00,Article NOT found
AI4855,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/spain-backpack-plus-4055343540030.html?a=214_40756
AI4862,15,,15.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/spain-bottle-4056559852139.html?a=214_41893
