ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AI7477,89,,,,,,2016-01-02 00:00:00,Article NOT found
AI7478,89,,,,,,2016-01-02 00:00:00,Article NOT found
AI7480,69,,69.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/prime-pants-4056559932169.html?a=214_41907
AI7499,39,,,,,,2016-01-01 00:00:00,Article NOT found
AI7993,59,,,,,,2016-01-02 00:00:00,Article NOT found
AI8035,129,,,,,,2016-01-02 00:00:00,Article NOT found
AI8111,39,,,,,,2016-01-02 00:00:00,Article NOT found
AI8119,45,,,,,,2016-01-02 00:00:00,Article NOT found
AI8197,39,,39.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/response-singlet-kav88.html?a=214_42079
AI8259,75,,,,,,2016-01-02 00:00:00,Article NOT found
AI8267,39,,,,,,2016-01-02 00:00:00,Article NOT found
AI8269,45,,,,,,2016-01-02 00:00:00,Article NOT found
AI8316,59,,,,,Future,2016-15-01 00:00:00,Article NOT found
AI8336,59,,,,,,2016-01-02 00:00:00,Article NOT found
AI8383,89,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8448,119,,,,,Future,2016-15-01 00:00:00,Article NOT found
AI8451,109,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8457,159,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8459,159,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8464,109,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8762,159,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8771,99,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8874,119,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI8911,89,,,,,Future,2016-15-02 00:00:00,Article NOT found
AI9174,129,,,,,,2016-01-01 00:00:00,Article NOT found
AI9255,49,,,,,,2016-01-01 00:00:00,Article NOT found
