ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AJ7880,79,,,,,,2016-01-02 00:00:00,Article NOT found
AJ7882,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ7888,109,,109.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/training-track-pants-4056559443092.html?a=214_41533
AJ7889,119,,119.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/training-track-jacket-4056559449735.html?a=214_41555
AJ7903,55,,55.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/allover-print-tee-4056559443870.html?a=214_41545
AJ7974,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ7975,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ7983,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ7984,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8050,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8148,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/trefoil-hoodie-4056559689315.html?a=214_41778
AJ8153,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/trefoil-leggings-4056559550165.html?a=214_41651
AJ8179,99,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8225,99,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8413,89,,89.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/flock-hoodie-4056559668242.html?a=214_41751
AJ8453,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/equipment-holdall-bag-4056559601621.html?a=214_41691
AJ8527,49,,,,,Future,2016-15-01 00:00:00,Article NOT found
AJ8608,79,,79.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/bowling-bag-4056559500580.html?a=214_41577
AJ8705,29,,29.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/shopper-bag-4056559505936.html?a=214_41601
AJ8857,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8860,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8867,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8868,109,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8869,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ8870,79,,,,,,2016-01-02 00:00:00,Article NOT found
