ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AK1618,29,,,,,,2016-01-01 00:00:00,Article NOT found
AK1757,39,,,,,,2016-01-02 00:00:00,Article NOT found
AK1764,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/sport-essentials-polo-shirt-4056562144726.html?a=214_42449
AK1765,49,,,,,,2016-01-02 00:00:00,Article NOT found
AK1794,25,,,,,,2016-01-02 00:00:00,Article NOT found
AK1795,25,,,,,,2016-01-02 00:00:00,Article NOT found
AK1796,25,,,,,,2016-01-02 00:00:00,Article NOT found
AK1798,25,,,,,,2016-01-01 00:00:00,Article NOT found
AK1801,79,,,,,,2016-01-02 00:00:00,Article NOT found
AK1822,39,,,,,,2016-01-02 00:00:00,Article NOT found
AK1823,39,,,,,,2016-01-02 00:00:00,Article NOT found
AK1824,79,,,,,,2016-01-02 00:00:00,Article NOT found
AK1906,39,,,,,,2016-01-02 00:00:00,Article NOT found
AK1907,79,,,,,,2016-01-02 00:00:00,Article NOT found
AK1945,69,,,,,,2016-01-02 00:00:00,Article NOT found
AK1959,29,,,,,,2016-01-02 00:00:00,Article NOT found
AK2036,29,,,,,,2016-01-02 00:00:00,Article NOT found
AK2066,29,,,,,,2016-01-02 00:00:00,Article NOT found
AK2094,65,,,,,,2016-01-02 00:00:00,Article NOT found
