ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AQ4439,179,,,,,,2016-01-02 00:00:00,Article NOT found
AQ4440,179,,,,,,2016-01-02 00:00:00,Article NOT found
AQ4441,179,,,,,,2016-01-02 00:00:00,Article NOT found
AQ4442,179,,,,,,2016-01-02 00:00:00,Article NOT found
AQ4823,59,,,,,,2016-01-01 00:00:00,Article NOT found
AQ4845,69,,,,,,2016-01-02 00:00:00,Article NOT found
AQ4878,139,,139.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/gymbreaker-bounce-shoes-4055341037723.html?a=214_40211
AQ4895,159,,,,,Future,2016-05-02 00:00:00,Article NOT found
AQ4901,109,,,,,Future,2016-05-02 00:00:00,Article NOT found
AQ4935,49,,,,,,2016-01-02 00:00:00,Article NOT found
AQ4936,49,,,,,,2016-01-02 00:00:00,Article NOT found
AQ5050,49,,,,,,2016-01-02 00:00:00,Article NOT found
AQ5064,299,,,,,Future,2016-29-01 00:00:00,Article NOT found
AQ5069,79,,,,,Future,2016-05-02 00:00:00,Article NOT found
AQ5151,399,,,,,Future,2016-29-01 00:00:00,Article NOT found
AQ5256,35,,,,,,2016-01-01 00:00:00,Article NOT found
AQ5671,169,,,,,Future,2016-29-01 00:00:00,Article NOT found
AQ5672,229,,229.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/novak-pro-shoes-4056559787905.html?a=214_41835
AQ6279,89,,,,,,2016-01-02 00:00:00,Article NOT found
AQ6280,69,,,,,,2016-01-02 00:00:00,Article NOT found
AQ6680,169,,,,,Future,2016-03-02 00:00:00,Article NOT found
AQ6681,169,,,,,Future,2016-03-02 00:00:00,Article NOT found
AQ6682,169,,,,,Future,2016-03-02 00:00:00,Article NOT found
AQ6722,169,,,,,,2016-01-02 00:00:00,Article NOT found
AQ6723,169,,,,,,2016-01-02 00:00:00,Article NOT found
AQ6724,169,,,,,,2016-01-02 00:00:00,Article NOT found
AQ6726,169,,,,,Future,2016-11-02 00:00:00,Article NOT found
AQ6761,179,,,,,Future,2016-24-02 00:00:00,Article NOT found
AQ6763,179,,,,,Future,2016-24-02 00:00:00,Article NOT found
AQ6787,179,,,,,,2016-01-01 00:00:00,Article NOT found
AQ7412,249,,,,,,2016-01-02 00:00:00,Article NOT found
AQ8212,169,,,,,Future,2016-12-02 00:00:00,Article NOT found
AQ8489,139,,,,,,2016-01-01 00:00:00,Article NOT found
AQ8490,139,,,,,,2016-01-02 00:00:00,Article NOT found
AQ8498,109,,,,,,2016-01-01 00:00:00,Article NOT found
AQ8598,135,,,,,,2016-01-02 00:00:00,Article NOT found
AQ8723,189,,,,,Future,2016-07-01 00:00:00,Article NOT found
