ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AJ5743,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/base-3-stripes-tee-bhl49.html?a=214_56219
AJ5750,125,,125.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/base-3-stripes-polo-shirt-bhl50.html?a=214_56629
AJ5751,125,,125.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/base-3-stripes-polo-shirt-bhl50.html?a=214_49130
AJ5757,85,,85.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/base-tee-bfs72.html?a=214_56624
AJ5758,85,,85.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/base-tee-bfs72.html?a=214_49163
AJ5762,80,,80.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/base-tank-top-bfs71.html?a=214_56619
AJ5775,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/base-pants-bfs69.html?a=214_56635
AJ5778,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/manchester-united-fc-tiro-pants-bfs56.html?a=214_56034
AJ6044,100,,100.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-3-stripes-tee-bfr70.html?a=214_56899
AJ6053,199,,199.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-3-stripes-hoodie-bfr71.html?a=214_56903
AJ6067,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/court-polo-shirt-bbk89.html?a=214_56022
AJ6131,90,,90.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/horizon-allover-print-shorts-bfn50.html?a=214_48303
AJ6133,180,,180.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/gym-allover-print-hoodie-bfn38.html?a=214_48233
AJ6217,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/back-to-school-track-suit-abg99.html?a=214_49502
AJ6220,85,,85.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/rock-it-allover-print-tights-bfm54.html?a=214_56605
