ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AF6028,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/duramo-trainer-shoes-4055339506798.html?a=214_40119
AF6133,59,,,,,,2016-01-01 00:00:00,Article NOT found
AF6218,149,,,,,,2016-01-01 00:00:00,Article NOT found
AF6431,239,,,,,Future,2016-15-02 00:00:00,Article NOT found
AF6432,239,,,,,Future,2016-15-02 00:00:00,Article NOT found
AF6466,199,,199.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/supernova-sequence-boost-8-shoes-4055341257220.html?a=214_40444
AF6471,189,,,,,,2016-01-02 00:00:00,Article NOT found
AF6488,189,,,,,,2016-01-02 00:00:00,Article NOT found
AF6516,289,,,,,,2016-01-01 00:00:00,Article NOT found
AF6554,199,,,,,,2016-01-02 00:00:00,Article NOT found
AF6567,199,,,,,,2016-01-02 00:00:00,Article NOT found
AF6598,79,,,,,,2016-01-02 00:00:00,Article NOT found
AF6601,79,,,,,,2016-01-02 00:00:00,Article NOT found
AF6602,79,,,,,,2016-01-02 00:00:00,Article NOT found
AF6644,109,,,,,,2016-01-01 00:00:00,Article NOT found
AF6647,109,,,,,,2016-01-01 00:00:00,Article NOT found
AF6648,109,,,,,,2016-01-01 00:00:00,Article NOT found
AF6650,109,,,,,,2016-01-01 00:00:00,Article NOT found
AF6665,99,,,,,,2016-01-01 00:00:00,Article NOT found
AF6676,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/duramo-7-shoes-ikz77.html?a=214_40606
AF6678,99,,,,,,2016-01-01 00:00:00,Article NOT found
AF6783,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/barricade-court-2-0-shoes-4055341187596.html?a=214_40336
AF6784,105,,,,,,2016-01-02 00:00:00,Article NOT found
AF6796,209,,209.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/barricade-2016-shoes-4055341479288.html?a=214_40702
AH4136,45,,,,,,2016-01-02 00:00:00,Article NOT found
AH4137,45,,,,,,2016-01-02 00:00:00,Article NOT found
AH5049,45,,45.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/bulls-summer-tee-4056561924886.html?a=214_42197
AH5073,39,,,,,,2016-01-01 00:00:00,Article NOT found
AH5079,29,,,,,,2016-01-01 00:00:00,Article NOT found
AH5108,109,,109.00,,Yes,Success,2015-22-07 00:00:00,http://shop.adidas.com.sg/chelsea-fc-away-replica-player-jersey-bce45.html?a=214_36195
AH5745,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/germany-backpack-plus-4056558702640.html?a=214_41260
AH5747,15,,15.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/germany-bottle-4056559852061.html?a=214_41887
AH6762,19,,,,,,2015-01-06 00:00:00,Article NOT found
AH7803,139,,,,,,2016-01-02 00:00:00,Article NOT found
AH7807,179,,,,,,2016-01-02 00:00:00,Article NOT found
AH7813,25,,,,,,2016-01-02 00:00:00,Article NOT found
AH7815,79,,,,,,2016-01-02 00:00:00,Article NOT found
AH8855,69,,,,,Future,2016-21-01 00:00:00,Article NOT found
AH8892,129,,,,,Future,2016-21-01 00:00:00,Article NOT found
AH8895,55,,,,,Future,2016-21-01 00:00:00,Article NOT found
