ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

AJ4811,119,,,,,Future,2016-15-02 00:00:00,Article NOT found
AJ4813,119,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4850,45,,45.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/allover-print-gym-shorts-4056561208504.html?a=214_41989
AJ4861,109,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4862,109,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4876,45,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4878,45,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4932,59,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4933,59,,,,,,2016-01-02 00:00:00,Article NOT found
AJ4958,35,,35.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/techfit-base-sleveless-tee-4056561861365.html?a=214_42183
AJ5018,45,,,,,,2016-01-01 00:00:00,Article NOT found
AJ5026,69,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5029,69,,69.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/ultimate-fit-three-quarter-typo-tights-4055343810942.html?a=214_40805
AJ5058,45,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5059,45,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5069,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5179,79,,79.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/la-palm-shorts-4056559608873.html?a=214_41699
AJ5337,35,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5499,39,,39.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/cool-365-tee-4056562674421.html?a=214_42465
AJ5500,39,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5503,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5507,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5515,59,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5519,59,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5521,69,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5522,69,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5523,59,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5524,59,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5552,109,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5553,109,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5563,89,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5577,89,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5590,29,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5591,29,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5597,79,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5632,35,,,,,,2016-01-01 00:00:00,Article NOT found
AJ5712,99,,,,,,2016-01-01 00:00:00,Article NOT found
AJ5743,39,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5750,49,,,,,,2016-01-02 00:00:00,Article NOT found
AJ5751,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/base-3-stripes-polo-shirt-4056559936730.html?a=214_41911
AJ5757,39,,,,,,2016-01-02 00:00:00,Article NOT found
