ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL

S74495,139,,,,,,2016-01-01 00:00:00,Article NOT found
S74500,189,,189.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/springblade-shoes-4055341188579.html?a=214_40342
S74514,79,,,,,,2016-01-02 00:00:00,Article NOT found
S74515,79,,,,,,2016-01-02 00:00:00,Article NOT found
S74516,79,,,,,,2016-01-02 00:00:00,Article NOT found
S74595,299,,,,,Future,2016-05-02 00:00:00,Article NOT found
S74597,299,,,,,Future,2016-26-02 00:00:00,Article NOT found
S74598,59,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74602,79,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74605,59,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74615,159,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74616,299,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74632,109,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74633,109,,,,,Future,2016-05-02 00:00:00,Article NOT found
S74634,109,,,,,Future,2016-26-02 00:00:00,Article NOT found
S74637,79,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74645,109,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74650,79,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74672,159,,,,,Future,2016-29-01 00:00:00,Article NOT found
S74674,159,,,,,Future,2016-05-02 00:00:00,Article NOT found
S74679,299,,,,,Future,2016-26-02 00:00:00,Article NOT found
S74683,35,,,,,,2016-01-02 00:00:00,Article NOT found
S74685,35,,,,,,2016-01-02 00:00:00,Article NOT found
S74734,35,,,,,,2016-01-02 00:00:00,Article NOT found
S74735,35,,,,,,2016-01-02 00:00:00,Article NOT found
S74766,49,,49.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/dragon-learn2walk-shoes-4055341373920.html?a=214_40592
S74931,269,,,,,Future,2016-11-02 00:00:00,Article NOT found
S74932,269,,,,,Future,2016-11-02 00:00:00,Article NOT found
S74933,299,,,,,Future,2016-13-02 00:00:00,Article NOT found
S75039,139,,,,,,2016-01-02 00:00:00,Article NOT found
S75126,129,,129.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/superstar-shoes-4055017617471.html?a=214_40081
S75138,139,,139.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/stan-smith-shoes-4055017556312.html?a=214_40053
S75157,129,,,,,,2016-01-02 00:00:00,Article NOT found
S75158,129,,,,,,2016-01-02 00:00:00,Article NOT found
S75159,129,,,,,,2016-01-02 00:00:00,Article NOT found
S75212,199,,,,,Future,2016-13-02 00:00:00,Article NOT found
S75246,179,,,,,Future,2016-11-02 00:00:00,Article NOT found
S75247,179,,,,,Future,2016-11-02 00:00:00,Article NOT found
S75249,139,,,,,,2016-01-02 00:00:00,Article NOT found
S75250,139,,,,,,2016-01-02 00:00:00,Article NOT found
S75443,65,,,,,,2016-01-02 00:00:00,Article NOT found
S75488,155,,,,,,2016-01-01 00:00:00,Article NOT found
S75556,139,,139.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/superstar-nigo-bearfoot-shoes-4055017568926.html?a=214_40063
S75579,139,,,,,Future,2016-11-02 00:00:00,Article NOT found
S75580,139,,,,,Future,2016-11-02 00:00:00,Article NOT found
S75584,199,,,,,Future,2016-13-02 00:00:00,Article NOT found
S77982,35,,35.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/duramo-sleek-slides-4055341430753.html?a=214_40698
S77990,35,,,,,,2016-01-01 00:00:00,Article NOT found
S78015,49,,,,,,2016-01-02 00:00:00,Article NOT found
S78016,49,,,,,,2016-01-02 00:00:00,Article NOT found
S78019,49,,,,,,2016-01-02 00:00:00,Article NOT found
S78020,49,,,,,,2016-01-02 00:00:00,Article NOT found
S78394,159,,,,,,2016-01-02 00:00:00,Article NOT found
S78417,239,,,,,Future,2016-15-01 00:00:00,Article NOT found
S78563,109,,,,,,2016-01-02 00:00:00,Article NOT found
S78647,89,,89.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/tubular-runner-xenopeltis-shoes-4055341180207.html?a=214_40330
S78648,109,,,,,,2016-01-02 00:00:00,Article NOT found
S78928,139,,,,,,2016-01-02 00:00:00,Article NOT found
S78930,139,,,,,,2016-01-02 00:00:00,Article NOT found
S78976,139,,139.00,,Yes,Success,2016-01-01 00:00:00,http://shop.adidas.com.sg/zx-flux-shoes-4055017617662.html?a=214_40085
