ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AA0594,2190,,,,,,2015-01-06 00:00:00,Article NOT found
AA0647,790,,,,,,2015-01-07 00:00:00,Article NOT found
AA2219,2790,,,,,Future,2015-15-06 00:00:00,Article NOT found
AA2728,790,,,,,,2015-01-07 00:00:00,Article NOT found
AA6437,1590,,,,,Article Error,2016-01-02 00:00:00,Product NOT Available: http://adidasthstg.specom.io/barricade-uncontrol-climachill-shorts.html?a=214_55292
AA6905,790,,,,,,2015-01-07 00:00:00,Article NOT found
AF6665,2290,,,,,Article Error,2016-01-01 00:00:00,Product NOT Available: http://adidasthstg.specom.io/duramo-7-shoes.html?a=214_55641
AF6676,2290,,,,,Article Error,2016-01-01 00:00:00,Product NOT Available: http://adidasthstg.specom.io/duramo-7-shoes.html?a=214_46783
AH5108,2790,,,,,Future,2015-22-07 00:00:00,Article NOT found
AH7807,4590,,,,,Article Error,2016-01-02 00:00:00,Product NOT Available: http://adidasthstg.specom.io/ace-zones-fingersave-all-round.html?a=214_56262
AI8197,790,,,,,Article Error,2016-01-01 00:00:00,Product NOT Available: http://adidasthstg.specom.io/m10-graphic-shorts-4056561447163.html?a=214_56598
AI8259,1790,,,,,Article Error,2016-01-02 00:00:00,Product NOT Available: http://adidasthstg.specom.io/supernova-three-quarter-tights.html?a=214_56550
AJ4862,2790,,,,,Article Error,2016-01-02 00:00:00,Product NOT Available: http://adidasthstg.specom.io/top-track-top.html?a=214_56518
M20607,2290,,,,,Article Error,2015-01-01 00:00:00,Product NOT Available: http://adidasthstg.specom.io/stan-smith-shoes.html?a=214_48539
S14294,2790,,,,,,2015-13-05 00:00:00,Article NOT found
S17593,790,,,,,,2015-01-03 00:00:00,Article NOT found
S21490,690,,,,,,2015-01-01 00:00:00,Article NOT found
